1001	12/1/2022	Kuehl	Jesse	3333333333	23.73	
1002	12/1/2022	Kuehl	Jesse	9999999999	1.7	
1003	12/1/2022	Kuehl	Jesse	3333333333	25.4	
1004	12/1/2022	r	r	r	15.24	
1005	12/1/2022	r	r	r	5.08	
1006	12/2/2022	Kuehl	Jesse	3333333333	10.16	
1007	12/3/2022	Kuehl	Jesse	3333333333	30.05	
1008	12/6/2022	Kuehl	Jesse	3333333333	13.1	
1009	12/6/2022	Kuehl	Jesse	3333333333	10.17	
1010	12/6/2022	Kuehl	Jesse	3333333333	43.29	
1011	12/7/2022	Kuehl	Jesse	333	13.96	
1012	12/7/2022	Kuehl	Jesse	349	10.16	
1013	12/8/2022	Kuehl	Jesse	3333333333	14.61	
1014	12/9/2022	Keuhl	Jesse	333	20.76	
1015	12/9/2022	Kuehl	Jesse	333	64.45	
1016	12/9/2022	Kuehl	Jesse	444	51.96	
1017	12/10/2022	Kuehl	Jesse	9204895487	51.6	1019	12/11/2022	Kuehl	Jesse	333	3.78	
1020	12/11/2022	Kuehl	Jesse	3	51.03	
